timestamp,order_id,agent_id,agent_type,order_type,side,price,quantity,mid_price,spread,distance_from_mid,is_aggressive,volatility,momentum,order_book_imbalance,time_since_last_trade,resulted_in_trade,was_toxic,trade_price
0,1,1,market_maker,LIMIT,BUY,249.375,2,250.0,0.0,-0.0025,False,0.0,0.0,0.0,0,True,True,249.375
0,2,1,market_maker,LIMIT,SELL,250.625,2,250.0,0.0,0.0025,False,0.0,0.0,1.0,0,True,False,250.625
0,3,2,informed,MARKET,SELL,,7,250.0,1.25,,True,0.0,0.0,0.0,0,True,True,249.375
0,4,6,uninformed,MARKET,SELL,,1,249.375,0.0,,True,0.0,0.0,-1.0,0,False,False,
1,5,1,market_maker,LIMIT,BUY,248.50218750000002,2,249.375,0.0,-0.0034999999999999224,False,0.0,0.0,-1.0,0,True,False,248.50218750000002
1,6,1,market_maker,LIMIT,SELL,249.7490625,2,249.56359375,2.1228124999999807,0.0007431723001464932,False,0.0,0.0,0.0,0,True,False,249.7490625
1,7,5,uninformed,MARKET,SELL,,3,249.125625,1.2468749999999886,,True,0.0,0.0,-0.3333333333333333,0,True,False,248.50218750000002
1,8,7,uninformed,MARKET,SELL,,1,248.50218750000002,0.0,,True,0.0,0.0,-1.0,0,False,False,
1,9,15,uninformed,MARKET,SELL,,2,248.50218750000002,0.0,,True,0.0,0.0,-1.0,0,False,False,
2,10,1,market_maker,LIMIT,BUY,247.38392765625002,2,248.50218750000002,0.0,-0.004499999999999984,False,0.0,0.0,-1.0,0,True,False,247.38392765625002
2,11,1,market_maker,LIMIT,SELL,248.62643859375004,2,248.566495078125,2.365134843749985,0.00024115686068710163,False,0.0,0.0,-0.3333333333333333,0,True,False,248.62643859375004
3,12,1,market_maker,LIMIT,BUY,246.88915980093753,2,248.00518312500003,1.2425109375000147,-0.004499999999999984,False,0.0005015045555845565,-0.005991249999999923,-0.5,0,True,False,246.88915980093753
3,13,1,market_maker,LIMIT,SELL,248.12918571656252,2,248.00518312500003,1.2425109375000147,0.0004999999999999473,False,0.0005015045555845565,-0.005991249999999923,-0.2,0,True,False,248.12918571656252
